,Subject,Jr. KG,Sr. KG,I
0,Eng,5,5,8
1,Hindi,4,4,6
2,Mathematic ,4,4.5,7
3,Social Studies,       -   ,       -   ,   -    
4,Science,       -   ,       -   ,   -    
5,Marathi ,       -   ,       -   ,2
6,EVS,2,3,5
7,Computer Studies,0.5,0.5,2
8,Circle Time,0.5,0.5,1
9,Life Skill,0.5,0.5,1
10,PE/ CCA Sports,2,2,2
11,Yoga,0.5,0.5,1
12,KARATE ,0,0,1
13,Art ,2,2,2
14,Clay modelling,1,1,1
15,Music,1,1,1
16,Music T,0,0,1
17,Dance,1,1,1
18,Library,1,1,1
19,DEED,1,0.5,1
20,Assembly,1,0.5,1
21,Wonder time,1,1,1
22,CCA-CREATIVE,0,0,0
23,Environmental Education --EE,2,1,1
24,PLAY PEN ,0.5,0.5,0
25,Role play,0.5,0,0
26,Robotics,0,0,0
27,Research and Referal ,0,0,0
28,SGI,0,0,2
29,CLASS TESTS ,0,0,1
